en,ru-RU
Triangle  VPN,Triangle  VPN
,
,
,
Системный прокси-сервер,Системный прокси-сервер
Отключен,Отключен
Сценарий настройки (PAC),Сценарий настройки (PAC)
Для всей системы,Для всей системы
Серверы,Серверы
Редактировать серверы…,Редактировать серверы…
Онлайн-конфигурация...,Онлайн-конфигурация...
Автозагрузка,Автозагрузка
Ассоциированный ss:// Ссылки,Ассоциированный ss:// Ссылки
Прямой прокси…,Прямой прокси…
Общий доступ к подключению,Общий доступ к подключению
Локальный PAC,Локальный PAC
Удаленный PAC,Удаленный PAC
Редактировать локальный PAC…,Редактировать локальный PAC…
Обновить локальный PAC из Geosite,Обновить локальный PAC из Geosite
Редактировать свои правила для Geosite,Редактировать свои правила для Geosite
Безопасный URL локального PAC,Безопасный URL локального PAC
Восстановить локальный PAC при обновлении версии,Восстановить локальный PAC при обновлении версии
Копировать URL локального PAC,Копировать URL локального PAC
Поделиться конфигурацией сервера…,Поделиться конфигурацией сервера…
Сканировать QRCode с экрана…,Сканировать QRCode с экрана…
Импорт адреса из буфера обмена…,Импорт адреса из буфера обмена…
Статистика доступности,Статистика доступности
Показать журнал…,Показать журнал…
Подробный журнал,Подробный журнал
Обновления…,Обновления…
Проверить обновления…,Проверить обновления…
Проверять при запуске,Проверять при запуске
Проверять предрелизные версии,Проверять предрелизные версии
Горячие клавиши…,Горячие клавиши…
О программе…,О программе…
Помощь,Помощь
Выход,Выход
Редактирование серверов,Редактирование серверов
Балансировка нагрузки,Балансировка нагрузки
Высокая доступность,Высокая доступность
События плагинов в журнале,События плагинов в журнале
Создать шаблон для перевода,Создать шаблон для перевода
,
,
,
Настройки статистики,Настройки статистики
Добавить,Добавить
Удалить,Удалить
Дублир-ть,Дублир-ть
Сервер,Сервер
IP-адрес,IP-адрес
Порт,Порт
Пароль,Пароль
Показать пароль,Показать пароль
Шифрование,Шифрование
Плагин,Плагин
Опции плагина,Опции плагина
Требуются аргументы,Требуются аргументы
Аргументы,Аргументы
Порт прокси,Порт прокси
Переносимый режим,Переносимый режим
Требуется перезапуск программы,Требуется перезапуск программы
Примечания,Примечания
Таймаут(сек),Таймаут(сек)
ОК,ОК
Отмена,Отмена
Применить,Применить
Новый сервер,Новый сервер
Выше,Выше
Ниже,Ниже
Устаревшее,Устаревшее
"Метод шифрования {0} не существует, будет заменен на {1}","Метод шифрования {0} не существует, будет заменен на {1}"
,
,
,
Файл,Файл
Расположение файла,Расположение файла
Выход,Выход
Вид,Вид
Очистить журнал,Очистить журнал
Шрифт…,Шрифт…
Перенос строк,Перенос строк
Поверх всех окон,Поверх всех окон
Панель инструментов,Панель инструментов
Просмотр журнала,Просмотр журнала
Входящая,Входящая
Исходящая,Исходящая
,
# Форма QRCode,# Форма QRCode
,
QRCode и URL,QRCode и URL
,
# Форма URL-адреса PAC,# Форма URL-адреса PAC
,
Изменение URL удаленного PAC,Изменение URL удаленного PAC
Редактировать URL удаленного PAC…,Редактировать URL удаленного PAC…
Введите URL адрес для PAC-файла,Введите URL адрес для PAC-файла
,
,
,
Ошибка Shadowsocks: {0},Ошибка Shadowsocks: {0}
Порт {0} уже используется,Порт {0} уже используется
Порт {0} зарезервирован системой,Порт {0} зарезервирован системой
Неверный адрес сервера,Неверный адрес сервера
Неверный числовой формат порта,Неверный числовой формат порта
Неверный формат таймаута,Неверный формат таймаута
IP-адрес сервера не может быть пустым,IP-адрес сервера не может быть пустым
Пароль не может быть пустым,Пароль не может быть пустым
Порт выходит за допустимый диапазон,Порт выходит за допустимый диапазон
Адрес порта 8123 не может быть использован,Адрес порта 8123 не может быть использован
Обновлений не обнаружено,Обновлений не обнаружено
